2026-01-10 10:01:21,110 | INFO    | [ADB] Found ADB at: adb
2026-01-10 10:01:21,282 | INFO    | [ADB] Found ADB at: adb
2026-01-10 10:01:21,384 | INFO    | [ADB] emulator-5554: Resolution 540x960 (wm size)
2026-01-10 10:01:21,384 | INFO    | [WORKER] 1: Auto-detected resolution 540x960 from ADB device emulator-5554
2026-01-10 10:01:21,385 | INFO    | [WORKER] 1: Scale factors = 1.074x, 1.036y
2026-01-10 10:01:21,421 | INFO    | [CAPTURE] BetterCam not installed
2026-01-10 10:01:21,645 | INFO    | [CAPTURE] DXCam initialized successfully
2026-01-10 10:01:21,646 | INFO    | [CAPTURE] Active provider: DXCam
2026-01-10 10:01:21,649 | INFO    | [WORKER] 1: Providers initialized (Capture: DXCam)
2026-01-10 10:01:21,662 | INFO    | [WorkerMgr] Loaded 2 assignments
2026-01-10 10:01:22,394 | INFO    | [HOTKEY] Registered: ctrl+shift+r -> ctrl+shift+r
2026-01-10 10:01:22,394 | INFO    | [HOTKEY] Registered: ctrl+shift+p -> ctrl+shift+p
2026-01-10 10:01:22,394 | INFO    | [HOTKEY] Registered: ctrl+shift+space -> ctrl+shift+space
2026-01-10 10:01:22,394 | INFO    | [HOTKEY] Registered: ctrl+shift+s -> ctrl+shift+s
2026-01-10 10:01:22,425 | INFO    | [HOTKEY] GlobalHotkeyManager started
2026-01-10 10:01:22,425 | INFO    | [UI] Global hotkeys registered
2026-01-10 10:01:29,526 | INFO    | [UI] Added action: COMBOKEY
2026-01-10 10:02:20,139 | INFO    | [UI] Updated action: WHEEL
2026-01-10 10:02:35,688 | INFO    | [UI] Captured: screen(1197,307)
2026-01-10 10:02:38,038 | INFO    | [UI] Added action: CLICK
2026-01-10 10:02:43,974 | INFO    | [UI] Playback loop: 2 actions, target_hwnd=657034
2026-01-10 10:02:43,974 | INFO    | [UI] Executing action 0: CLICK = {'button': 'left', 'x': 1197, 'y': 307}
2026-01-10 10:02:43,978 | INFO    | [UI] Playback started
2026-01-10 10:02:44,057 | INFO    | [UI] Executing action 1: WHEEL = {'direction': 'up', 'amount': 3, 'speed': 50, 'x': 0, 'y': 0}
2026-01-10 10:02:44,217 | INFO    | [UI] Playback complete
2026-01-10 10:02:44,219 | INFO    | [UI] Playback complete
2026-01-10 10:02:49,794 | INFO    | [UI] Capture target set: Screen (Full) (hwnd=None)
2026-01-10 10:02:51,353 | INFO    | [UI] Playback loop: 2 actions, target_hwnd=657034
2026-01-10 10:02:51,353 | INFO    | [UI] Executing action 0: CLICK = {'button': 'left', 'x': 1197, 'y': 307}
2026-01-10 10:02:51,354 | INFO    | [UI] Playback started
2026-01-10 10:02:51,422 | INFO    | [UI] Executing action 1: WHEEL = {'direction': 'up', 'amount': 3, 'speed': 50, 'x': 0, 'y': 0}
2026-01-10 10:02:51,576 | INFO    | [UI] Playback complete
2026-01-10 10:02:51,578 | INFO    | [UI] Playback complete
2026-01-10 10:02:56,319 | INFO    | [UI] Captured: screen(1064,309)
2026-01-10 10:02:57,909 | INFO    | [UI] Updated action: CLICK
2026-01-10 10:02:58,840 | INFO    | [UI] Playback loop: 2 actions, target_hwnd=657034
2026-01-10 10:02:58,840 | INFO    | [UI] Executing action 0: CLICK = {'button': 'left', 'x': 1064, 'y': 309}
2026-01-10 10:02:58,842 | INFO    | [UI] Playback started
2026-01-10 10:02:58,897 | INFO    | [UI] Executing action 1: WHEEL = {'direction': 'up', 'amount': 3, 'speed': 50, 'x': 0, 'y': 0}
2026-01-10 10:02:59,065 | INFO    | [UI] Playback complete
2026-01-10 10:02:59,068 | INFO    | [UI] Playback complete
2026-01-10 10:03:07,066 | INFO    | [UI] Capture target set: Screen (Full) (hwnd=None)
2026-01-10 10:03:09,029 | INFO    | [UI] Playback loop: 2 actions, target_hwnd=657034
2026-01-10 10:03:09,029 | INFO    | [UI] Executing action 0: CLICK = {'button': 'left', 'x': 1064, 'y': 309}
2026-01-10 10:03:09,030 | INFO    | [UI] Playback started
2026-01-10 10:03:09,096 | INFO    | [UI] Executing action 1: WHEEL = {'direction': 'up', 'amount': 3, 'speed': 50, 'x': 0, 'y': 0}
2026-01-10 10:03:09,262 | INFO    | [UI] Playback complete
2026-01-10 10:03:09,266 | INFO    | [UI] Playback complete
2026-01-10 10:03:16,588 | INFO    | [UI] Captured: screen(1086,555)
2026-01-10 10:03:19,891 | INFO    | [UI] Updated action: CLICK
2026-01-10 10:03:20,903 | INFO    | [UI] Playback loop: 2 actions, target_hwnd=657034
2026-01-10 10:03:20,904 | INFO    | [UI] Executing action 0: CLICK = {'button': 'left', 'x': 1086, 'y': 555}
2026-01-10 10:03:20,904 | INFO    | [UI] Playback started
2026-01-10 10:03:20,970 | INFO    | [UI] Executing action 1: WHEEL = {'direction': 'up', 'amount': 3, 'speed': 50, 'x': 0, 'y': 0}
2026-01-10 10:03:21,125 | INFO    | [UI] Playback complete
2026-01-10 10:03:21,126 | INFO    | [UI] Playback complete
2026-01-10 10:03:32,232 | INFO    | [UI] Capture target set: Screen (Full) (hwnd=None)
2026-01-10 10:03:36,366 | INFO    | [UI] Playback loop: 2 actions, target_hwnd=657034
2026-01-10 10:03:36,366 | INFO    | [UI] Executing action 0: CLICK = {'button': 'left', 'x': 1086, 'y': 555}
2026-01-10 10:03:36,367 | INFO    | [UI] Playback started
2026-01-10 10:03:36,425 | INFO    | [UI] Executing action 1: WHEEL = {'direction': 'up', 'amount': 3, 'speed': 50, 'x': 0, 'y': 0}
2026-01-10 10:03:36,594 | INFO    | [UI] Playback complete
2026-01-10 10:03:36,596 | INFO    | [UI] Playback complete
2026-01-10 10:03:41,988 | INFO    | [UI] Captured: screen(1510,16)
2026-01-10 10:03:43,327 | INFO    | [UI] Updated action: CLICK
2026-01-10 10:03:44,553 | INFO    | [UI] Playback loop: 2 actions, target_hwnd=657034
2026-01-10 10:03:44,553 | INFO    | [UI] Executing action 0: CLICK = {'button': 'left', 'x': 1510, 'y': 16}
2026-01-10 10:03:44,554 | INFO    | [UI] Playback started
2026-01-10 10:03:44,630 | INFO    | [UI] Executing action 1: WHEEL = {'direction': 'up', 'amount': 3, 'speed': 50, 'x': 0, 'y': 0}
2026-01-10 10:03:44,810 | INFO    | [UI] Playback complete
2026-01-10 10:03:44,812 | INFO    | [UI] Playback complete
